번호,이름,시간분류,형식/소재/세대,비주얼태그,전체라벨
490,Bernie Sanders Chair,#고전 #스테디,#합성,#접이식의자 #벙어리장갑 #패딩 #합성,#고전 #스테디 #합성 #접이식의자 #벙어리장갑 #패딩 #합성
491,Guy Staring At Screen,#고전 #스테디,#반응짤,#모니터응시 #멍 #현타,#고전 #스테디 #반응짤 #모니터응시 #멍 #현타
492,Salute Emoji,#고전 #스테디,#유행어,#경례 #🫡 #수긍,#고전 #스테디 #유행어 #경례 #🫡 #수긍
493,Standing On Business Meme,#2024,#유행어 #틱톡,#진지모드 #할일엔진심 #단호,#2024 #유행어 #틱톡 #진지모드 #할일엔진심 #단호
494,Aura Points Meme,#2025,#유행어 #GenAlpha,#아우라점수 #플러스마이너스 #간지,#2025 #유행어 #GenAlpha #아우라점수 #플러스마이너스 #간지
495,Looksmaxxing Meme,#2024,#유행어 #GenAlpha,#외모관리 #턱운동 #셀프개조,#2024 #유행어 #GenAlpha #외모관리 #턱운동 #셀프개조
496,Mewing Shush,#2024,#유행어 #GenAlpha,#쉿제스처 #턱쓸기 #혀입천장,#2024 #유행어 #GenAlpha #쉿제스처 #턱쓸기 #혀입천장
497,Fanum Tax Meme,#2024,#유행어 #GenAlpha,#음식한입 #뺏어먹기 #세금,#2024 #유행어 #GenAlpha #음식한입 #뺏어먹기 #세금
498,Gyatt Meme,#2024,#유행어 #GenAlpha,#과장감탄 #갓뎀 #슬랭,#2024 #유행어 #GenAlpha #과장감탄 #갓뎀 #슬랭
499,Rizzler,#2024,#유행어 #GenAlpha,#작업고수 #매력만렙 #윙크,#2024 #유행어 #GenAlpha #작업고수 #매력만렙 #윙크
500,Only In Ohio,#스테디,#유행어 #GenAlpha,#오하이오 #기괴사건 #미국주,#스테디 #유행어 #GenAlpha #오하이오 #기괴사건 #미국주
